model,timeframe,test_mae,test_rmse,test_r2,test_mape
INFORMER,Monthly,335.6289830774222,406.28891114780896,0.9477512971550794,6.546994267796288
LSTM,Monthly,462.78042061840875,560.2086113295975,0.8925685132832346,8.266962890038764
